제목,날짜,기자명,본문
벙커버스터는 김정은을 떨게 할까? 북한의 지하세계[주성하의 ‘北토크’],2025-06-28 14:00:00,주성하,"분단의 장벽 너머에서 일어나는 일들을 반세기 동안 북한을 지켜봐온 주성하 기자의 시선으로 풀어봅니다.미국이 21일 이란의 포르도 지하 핵시설에 12발의 GBU‑57 벙커버스터 폭탄을 투하하자, 많은 언론이 북한을 떠올렸습니다. 김정은도 공포에 떨 수밖에 없다는 것이 대다수 언론의 분석입니다. 물론 북한은 핵무기를 이미 갖고 있기 때문에 미국이 이란처럼 사용할 수 없다는 이유도 빠질 수 없이 곁들였습니다. 일리가 있는 이야기입니다. 북한은 2022년 9월 ‘핵무력정책법’을 발표했습니다. 이에 따르면 북한이 핵무기를 사용할 수 있는 조건은 다섯 가지입니다. 첫째, 북한에 대한 핵무기 또는 대량살육무기 공격이 감행되었거나 임박했다고 판단되는 경우. 둘째, 국가지도부 등에 대한 적대세력의 핵 및 비핵공격이 감행되었거나 임박했다고 판단되는 경우. 셋째, 국가의 중요 전략적 대상들에 대한 치명적인 군사 공격이 감행되었거나 임박했다고 판단되는 경우. 넷째, 유사시 전쟁의 확대와 장기화를"
"“이란, ‘라팔 격추’ 중국 J-10C 전투기 400대 도입 추진”",2025-06-28 13:44:00,구독,"이란이 중국으로부터 최대 400대에 달하는 최신예 젠(J)-10C 전투기를 구매하는 방안을 추진 중인 것으로 전해졌다. 28일 홍콩 성도일보는 이란 및 러시아 현지 매체를 인용해, 이란 정부가 중국과의 J-10C 대량 구매 협상을 최근 재개했다고 보도했다.이란은 2015년에 중국과 J-10C 최대 150대 도입 계약을 체결한 바 있으나, 결제 방식을 둘러싼 이견으로 계약이 무산된 바 있다. 당시 이란은 석유나 천연가스를 대가로 하는 물물교환 방식을 제안했지만, 중국 측은 이를 받아들이지 않았던 것으로 알려졌다.2020년 무기 금수 조치가 해제된 이후에도 양측은 협상을 재개했으나, 같은 이유로 중단됐다. 이란은 이후 2023년 러시아와 4.5세대 전투기인 수호이(Su)-35 50대를 도입하는 계약을 체결했지만, 실제로 인도받은 기체는 현재까지 단 4대에 불과하다. 이는 러시아의 무기 생산 역량이 우크라이나 전쟁에 집중되면서 계약 이행이 지연되고 있기 때문으로 분석된다.이러한 상황 속에"
이렇게 집중한 적 있었던가…‘필사’의 매력에 빠지다,2025-06-28 13:20:00,사콘텐츠,"16일 오후 10시. 필사(筆寫)를 위해 거실 테이블에 앉았다. 평소 같았으면 집 안에 TV 소리만 가득했을 시간이지만, 이날은 선풍기 돌아가는 소리가 유난히 시끄럽게 느껴질 만큼 고요했다. 새로 산 펜으로 평소 읽고 싶었던 책에 나온 문장을 노트에 한 자, 한 자 적어내렸다. 하지만 ‘필사 초보’의 집중력은 생각보다 오래가지 않았다. 30분가량 지났을 무렵, 주말에 놓친 예능 프로그램이 불현듯 떠올랐다. ‘다 쓰고 소파에 누워서 TV를 볼까, 바로 잘까…’ 크게 중요하지 않은 생각들이 머릿속을 메우기 시작했다. 아뿔싸! 꼬리에 꼬리를 물고 이어진 잡생각 탓에 오탈자가 나왔다.남의 글을 베껴 쓰는 ‘필사’가 인기를 끌고 있다. 유명인의 격언을 옮겨적거나 ‘어린왕자’ 같은 베스트셀러 소설을 베껴 쓰며 마음의 안정을 찾는 것이다. 최근 주요 서점에서는 필사 관련한 서적 판매량이 급증했고 일부 지방자치단체나 사찰 등은 필사 수업을 진행하고 있다. 기자도 16일부터 22일까지 하루 약 1시"
"일본 축구대표 센터백 마치다, 독일 분데스리가 호펜하임 입단",2025-06-28 13:10:00,구독,"일본 축구 국가대표 센터백 마치다 고키(27)가 독일 프로축구 분데스리가 TSG 호펜하임에 입단해 유럽 빅리그에 진출했다.호펜하임은 28일(한국 시간) 구단 홈페이지를 통해 “벨기에 1부리그 챔피언 위니옹 생질루아즈에서 마치다를 영입했다”고 밝혔다.구체적인 계약 조건을 공개하지 않았으나, 독일 매체 키커에 따르면 이적료 총액은 500만 유로(약 80억원)인 것으로 알려졌다.일본 J리그1 가시마 앤틀러스에서 뛰었던 마치다는 2022년 1월 위니옹 생질루아즈에 임대됐다가 2023년 7월 완전히 이적했다.벨기에 무대에선 총 114경기에 출전해 4골 2도움 기록을 남겼다.특히 2024~2025시즌엔 위니옹 생질루아즈가 90년 만에 벨기에 리그 정상에 오르는 데 이바지했다.마치다는 일본 국가대표로 A매치 17경기를 소화했다.[서울=뉴시스]"
"음악을 기다리던 시절, 조선 첫 라디오 방송 현장 공개 [청계천 옆 사진관]",2025-06-28 13:00:00,사콘텐츠,"라디오에서 음악을 들을 수 있다는 건 당연한 일이지만, 그 시작은 어떤 모습이었을지를 아는 사람은 거의 없을 겁니다. 1925년 6월, 조선에서도 마침내 전파를 통해 음악이 흘러나오는 시대가 시작되었습니다. 물론 그 풍경은 특별합니다. 이번 주 ‘백년사진’은 그 첫 순간을 담은 사진 한 장을 소개합니다. ● 1925년 6월, 음악이 전파를 타다동아일보 1925년 6월 26일자 6면에는 ‘무선전화 정기 시험방송’ 기사와 함께 아주 흥미로운 사진 한 장이 실렸습니다. 체신국 시험방송실에서 음악을 방송하는 장면입니다. 헤드폰을 쓴 방송국 직원 앞에 기타를 든 서너명의 사람들이 앉아 있습니다. 방송실 안에서 이들이 부르는 노래가 마이크와 전파를 타고 전국으로 나가고 있는 모습입니다. 연주하는 이들은 조선 땅에서 최초로 라디오를 통해 음악을 송출한 사람입니다. 기사를 한번 읽어보겠습니다. 〈무선전화매주 네 차례 정기 방송음악과 일기예보, 뉴스 등을 방송〉O체신국에서 시험적으로조선에"
"일본 태생 자이언트 판다 4마리, 中 반환 위해 출발",2025-06-28 12:32:00,구독,"중국으로 반환되는 일본 태생 자이언트 판다 4마리가 28일 오전 일본 와카야마현을 떠났다. 해당 판다들은 모두 와카야마현 시라하마에 위치한 테마파크 ‘어드벤처월드’에서 사육된 개체들이다.일본 NHK에 따르면 이날 오전 8시 30분께 24세 암컷 ‘라우힌’과 8세 ‘유이힌’, 6세 ‘사이힌’, 6세 ‘후우힌’ 등 총 4마리를 각각 나눠 태운 트럭 2대가 테마파크를 출발했다. 현장에는 직원과 가족 약 300명이 나와 작별 인사를 건넸다.8년간 이들을 담당해온 사육사는 “판다들이 평소와는 다른 분위기에 다소 불안한 기색을 보였지만, 대나무를 잘 먹고 있어 상태는 안정적”이라며 “중국 측 직원들과도 긴밀히 협조하고 있어 안심하고 보낼 수 있을 것”이라고 말했다.전날 마지막 개방일에 열린 환송 행사에는 일본 내 판다 팬 약 3000명이 몰려 이별을 아쉬워했다.중국은 자국 소유 판다 정책에 따라 외국에서 태어난 개체라도 성체가 되는 만 4세 전후에는 중국으로 반드시 반환해야 한다. 한국에서도"
특검 “尹 오전조사 종료…곧 국무회의 관련 조사 진행 예정”,2025-06-28 12:17:00,송은석,12·3 비상계엄 선포 사건을 수사 중인 내란 특별검사팀이 28일 윤석열 전 대통령에 대한 오전 조사를 마쳤다. 윤 전 대통령은 3시간 가까이 이어진 조사에서 진술 거부권을 행사하지 않은 것으로 전해졌다. 첫 대면 조사는 파견 경찰인 박창환 경찰청 중대범죄수사과장(총경)이 맡았다.박지영 내란 특검보는 이날 오전 브리핑에서 ‘윤 전 대통령이 진술거부권 행사 등 소환에 어떻게 대응하고 있는가’라는 질문에 “현재로서는 (진술거부권 행사 등) 그런 것은 아직 없다”며 “충분히 진술할 것 같다”고 말했다. 윤 전 대통령에 대한 조사는 오전 10시 14분부터 시작됐다. 조사실은 서울고검 6층에 마련됐다. 공간은 일반 검사실 구조와 유사하다는 설명이다. 윤 대통령 측은 채명성·송진호 변호사가 입회했다.특검은 이날 윤 전 대통령 체포영장에 적시된 특수공무집행방해·직권남용 혐의부터 조사하고 있다. 박 특검보는 “사건의 연계성 등을 고려해 조사는 경찰에서 이 사건 수사를 맡아온 박 총경이 담
"‘필리핀 도피’ 111억 규모 투자리딩방 총책, 국내 송환",2025-06-28 12:08:00,구독,"필리핀으로 도피한 111억원 규모의 투자 리딩방 사기조직 총책이 28일 국내로 송환됐다. 추방 결정에 반발해 현지 이민청에 재심(이의제기) 청원을 했으나 받아들여지지 않았다. 경찰청은 투자 리딩방 사기조직 총책 A(26)씨를 이날 오전 인천국제공항을 통해 강제 송환했다고 밝혔다.A씨는 지난 2023년 1월부터 국내외 공범 31명(검거 29명)과 함께 영화 ‘종이의 집’을 모티브로 범죄집단을 조직, ‘교수’, ‘베를린’, ‘리우’ 등과 같은 가명을 설정한 후 투자전문가를 사칭했으며, 가상자산이나 비상장주식 등 투자를 권유해 피해자 199명으로부터 약 111억원을 편취한 혐의를 받는다. 경찰청은 수배 관서로부터 공조 요청을 접수한 후 필리핀으로 도피한 총책 A씨를 포함해 간부 7명에 대해 2023년 8월 인터폴 적색수배를 신청하는 한편, 한국·필리핀 합동 작전팀을 편성해 집중 추적에 나섰다. 이후 작전팀은 A씨의 추정 은신처를 확보했으며, 지난해 11월 무장경력 10여명이 급습해 A씨를"
"오정연, 이재명 대통령 만났다 “청와대 첫 행사 함께해 영광”",2025-06-28 12:08:00,구독,"방송인 오정연이 지난 27일 청와대 영빈관에서 열린 ‘호국보훈의 달, 대통령의 초대’ 행사 사회를 맡았다. 오정연은 이날 본인 소셜미디어 “6/27 #MC정연 ‘호국보훈의 달, 대통령의 초대’ 행사의 사회를 맡았습니다. 새 정부 들어 청와대에서 열린 첫 행사였는데요. 나라를 지킨 국가유공자와 보훈 가족 분들의 고귀한 헌신을 깊이 새기고 보답 드리는 뜻깊은 자리에 함께할 수 있어 매우 영광이었습니다”라고 적었다.이어 “본식은 촬영하지 못했지만, 리허설 때 영상을 찍을 수 있었습니다. 영상에서처럼 대통령 내외분과 보훈 가족분들 앞에서 6.25 참전 유공자이신 친할아버지 고(故) 오준환 소령님의 이야기를 할 수 있다니. 잠시 할아버지가 떠올라 가슴 뭉클한 순간이었습니다. 할아버지! 평안히 잘 계시지요?”라고 덧붙이며 사진 여러 장을 올렸다.대통령실에 따르면, 이재명 대통령은 이날 낮 12시께 국가유공자 및 보훈가족 등 160여명을 청와대 영빈관으로 초청해 ‘호국보훈의 달, 대통령의 초대’"
“친구 있기에 대한민국 한바퀴 4544km 돌았죠”[양종구의 100세 시대 건강법],2025-06-28 12:00:00,신원건,"서울 휘문고 60회 동기동창으로 올해 75세인 임정국 정태성 김익원 최동주 씨는 신종 코로나바이러스 감염증(코로나19) 확산이 한창이던 2021년 3월부터 대한민국 한 바퀴 걷기에 나섰다. 시간 날 때 모여서 걸었고, 올해 4월 4544km 대한민국 한 바퀴 완보에 성공했다.“당시 대한민국 정부는 모여서 뭘 못 하게 막았죠. 저흰 살기 위해서 뭐라도 해야 한다고 생각했죠. 그래서 저흰 바이러스와 무관한 대한민국 한 바퀴를 걷기로 했죠. 고등학교 친구들과 함께 의기투합했고, 결국 함께 이뤘다는 것에 큰 성취감을 느끼고 있습니다.”회사 생활을 하던 정 씨를 빼고 나머지 세 명은 사업을 하며 자주 만나면서 산행하던 사이였다. 우연한 기회에 4명이 당구를 쳤고, 자연스럽게 매주 1~2차례 서울 근교 대모산과 청계산, 관악산, 북한산 등을 올랐다. 그러다 코로나19로 어렵던 때 동해안 해파랑길이 잘 조성됐다고 얘기하다가 “그럼 대한민국 한 바퀴를 돌자”고 뜻을 모았다. 평소 등산을 좋아해 대"
"‘갓성비’ 샤오미, 韓서 고급화 전략 시동…“직접 써보면 다를 것”",2025-06-28 11:46:00,샤오미,"“한국 시장에서는 샤오미가 아직 신생 브랜드로 보일 수 있습니다. 그렇기 때문에 지금 저희의 가장 큰 목표는 샤오미가 보유한 다양한 제품들을 한국 시장에 잘 도입하고, 한국 소비자들의 니즈에 맞는 제품을 출시하는 것입니다.”중국 샤오미가 28일 서울 여의도에 공식 오프라인 매장 1호점을 내고 한국 시장 공략에 본격적으로 나섰다. 중저가형 가성비 제품뿐만 아니라 고급형 스마트폰을 주력 상품으로 내세우는 등 눈높이가 다른 한국 소비자 사로잡기에 나섰다. 샤오미는 “고객들이 제품 실물을 직접 보고 만져보면 산다”는 자신감을 보이고 있다. 이에 더해 제품을 구입한 매장에서 AS까지 책임지는 리테일 전략으로 승부를 보겠다는 구상이다.샤오미 스토어 1호점 오픈을 앞두고 지난 25일 개최된 샤오미 기자 간담회. 이 날 앤드류리 샤오미 국제사업부 동아시아 지역 총괄은 “샤오미가 전 세계 다양한 팬들과 소비자들이 제품을 경험할 수 있도록 여러나라에 매장을 개설하고 있다”며 “한국 역시 그 중에서"
"삼성 AI집사 볼리, 하반기로 출시 연기…왜 늦어졌나?",2025-06-28 11:45:00,구독,"삼성전자가 올 상반기까지 인공지능(AI) 집사로봇 ‘볼리’를 내놓을 예정이었지만 결국 출시 시기를 하반기로 미뤘다.볼리가 국내 AI 집사로봇 시장의 문을 열 것으로 기대를 모았던 만큼 출시 연기 배경에 업계의 이목이 쏠리고 있다. 삼성전자는 비싼 가격 및 다른 제품들과 중복되는 기능 등의 문제를 개선하는 작업에 몰두하고 있는 것으로 보인다.28일 업계에 따르면 삼성전자는 당초 올 상반기 출시할 예정이던 AI 집사로봇 볼리의 출시 시점을 하반기로 연기했다. 볼리는 집안에서 개인 맞춤형 서비스를 제공하는 바퀴가 달린 이동 로봇으로 별도의 콘트롤러 없이 음성으로 명령을 수행한다. 사용자 별로 목소리를 인식해 전화를 걸어주고 프로젝터 빔으로 여행·날씨 등의 생활정보들을 알려준다.삼성전자는 지난 2020년 ‘CES 2020’에서 처음 볼리를 공개했지만, 5년 넘게 시장에 출시하지 않았다. 글로벌 가전 전시회에서만 업그레이드 버전을 공개하는 정도였다.용석우 삼성전자 영상디스플레이사업부장 사장은"
"尹, 결국 포토라인에 섰다…지하 통로 고집하다 공개 출석 [청계천 옆 사진관]",2025-06-28 11:32:00,송은석,"윤석열 전 대통령이 결국 포토라인에 섰다. 지하 주차장 통로를 통한 비공개 출석을 고수하던 그는 28일 오전 내란특검 사무실이 위치한 서울고등검찰청 현관 앞에 모습을 드러냈다.내란 특별수사팀은 윤 전 대통령에게 특수공무집행방해와 직권남용, 대통령경호법상 직권남용 교사 혐의를 적용해 이날 피의자 신분으로 출석을 통보했다. 그러나 윤 전 대통령 측은 줄곧 ‘비공개 출석’을 고집해 왔다. “특검이 사실상 포토라인을 강요하고 있다”며 반발했고, 전날까지도 “서울고검 지하주차장으로 들어가겠다”며 공개 출석 요구를 거부했다. 이에 특검팀도 지하주차장 진입로에 철제 바리케이드를 설치하며 맞섰다. “지하에서 대기하는 것은 출석으로 간주하지 않겠다”는 입장도 분명히 했다.결국 이날 오전 9시 50분쯤, 남색 양복에 붉은 넥타이를 맨 윤 전 대통령은 서울 서초구 사저를 나섰다. 차량은 약 5분 만에 서울고검 청사 앞에 도착했다. 고검 동문을 지나 청사 오르막길에서 잠시 멈췄던 검은 승합차는 이내 방향"
[날씨]“끈적끈적 힘들어요”…체감온도 31도 ‘후텁지근’,2025-06-28 11:27:00,"6월 마지막 일요일인 29일은 일부 지역에 비가 내리는 가운데 낮 기온이 30도 이상으로 올라 후텁지근한 날씨가 되겠다.기상청은 이날 전국 대부분…"" /","(서울=뉴스1) 김종훈 기자 = 6월 마지막 일요일인 29일은 일부 지역에 비가 내리는 가운데 낮 기온이 30도 이상으로 올라 후텁지근한 날씨가 되겠다.기상청은 이날 전국 대부분 지역에서 최고 체감온도가 31도 이상으로 올라 덥겠다고 예보했다. 특히 남부지방은 습도가 높은 상황에서 33도 내외까지 올라 매우 덥겠다. 일부 경상권에서는 체감온도가 35도 이상으로 올라 전날이 이어 폭염특보가 발효될 가능성이 있다.일부 지역에서는 밤사이 기온이 25도 이상으로 유지되는 현상인 열대야가 나타날 수 있다.이날 아침 최저기온은 22~25도, 낮 최고기온은 26~35도가 되겠다.주요 도시 예상 최저 기온은 △서울 23도 △인천 22도 △춘천 23도 △강릉 25도 △대전 24도 △대구 25도 △전주 24도 △광주 24도 △부산 23도 △제주 23도다.최고 기온은 △서울 29도 △인천 26도 △춘천 29도 △강릉 32도 △대전 32도 △대구 35도 △전주 33도 △광주 32도 △부산 29도 △제주"
