제목,날짜,기자명,본문
[인사] 전북 남원시,2025-06-28 04:58:54,,"백도인기자 구독 구독중 이전 다음 ◇ 4급(서기관) 승진 ▲ 주민복지과 허인선 ▲ 대산면 류창 ▲ 관광시설과 박준기 ◇ 5급(사무관) 승진 ▲ 시민소통담당관 변정현·이영규 ▲ 재정과 오미선 ▲ 관광과 강탁원 ▲ 기업정책과 최성조 ▲ 보건소 이미경 (남원=연합뉴스) 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지> 2025/06/28 13:58 송고 2025년06월28일 13시58분 송고 #남원시 #인사 댓글 좋아요 슬퍼요 화나요 후속요청 북마크 공유 공유하기 카카오톡 페이스북 X 페이스북 메신저 네이버 밴드 URL 복사 닫기 URL이 복사되었습니다. 댓글 글자크기 본문 글자 크기 조정 폰트 1단계 13px 폰트 2단계 16px 폰트 3단계 18px 폰트 4단계 20px 폰트 5단계 22px 닫기 프린트 제보"
"이양수 ""권오을, 선거법 위반 확정에도 선거보전비 2.7억 미반환""",2025-06-28 04:57:50,,"권오을 국가보훈부 장관 후보자가 과거 공직선거법 위반에 따라 반환해야 할 선거보전비용 2억7천400여만원을 현재까지 반환하지 않고 있다는 지적이 나왔다. 공직선거법에 따르면 당선자나 후보자가 공직선거법 또는 정치자금법 위반 등의 사유로 당선 무효형이 확정되면 보전받은 선거비용 전부를 반환 사유 발생일로부터 30일 이내에 반환해야 한다. 이 의원은 ""권 후보자는 2021년 5월 경북선거관리위원회로부터 2억7천400여만원을 반환하라는 명령을 받았지만, 현재까지 전혀 내지 않고 해당 금액 전액을 채무 금액으로 신고했다""며 ""법원의 확정판결이 나왔는데도 국민 혈세를 아직 반환하지 않는 것""이라고 지적했다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다.전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"尹측, 특검 '경찰 신문'에 반발…""검사가 직접 신문해야""(종합)",2025-06-28 04:50:55,,"윤석열 전 대통령 측은 28일 내란 특별검사팀 조사의 시작을 파견 경찰이 맡은 데 반발하며 이들을 수사에서 배제하라고 요구했다. 윤 전 대통령 대리인단은 앞서 오전 9시 55분께 윤 전 대통령이 서울고검에 출석한 직후 낸 입장문에서도 공개 소환을 고수한 특검팀을 강도 높게 비판했다. 대리인단은 ""법령과 적법절차를 위반해 폭주하는 특검은 법 위의 존재인가? 특별검사도 검사일 뿐""이라며 ""말장난과 존재하지 않는 사실로 전직 대통령을 소환해 조사하겠다는 것은 수사가 아니라 조작을 하겠다는 것과 다르지 않다. 정치적 선동이자 여론몰이일 뿐""이라고 주장했다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다.전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"우진문화재단, 명창들의 '판소리 다섯바탕' 7월 1∼5일 개최",2025-06-28 04:49:12,,"우진문화재단은 명창들의 릴레이 공연인 '판소리 다섯 바탕의 멋'을 다음 달 1∼5일에 전북 전주시 우진문화공간 예술극장에서 연다고 28일 밝혔다. 우진문화재단은 전북의 대표적 문화예술 지원단체로, 지역 문화예술인의 창작활동을 돕는 다양한 공연을 진행하고 있다. 김보라 우진문화재단 이사장은 ""소리의 본향 전주에서 최고의 명창들이 펼치는 전통예술의 향연""이라면서 ""판소리의 깊이와 생명력을 고스란히 전하며 보존과 전승의 산 교육장 역할을 할 것""이라고 말했다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다.전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
대구 오존주의보 발령,2025-06-28 04:27:24,,"(대구=연합뉴스) 28일 오후 1시를 기해 대구(군위군 제외)에 오존주의보가 내려졌다고 환경부 한국환경공단이 전했다. 발령 지역 시간 평균 오존 농도는 오후 1시 현재 0.1237ppm(100만분의 1)을 기록하고 있다. 1시간 평균 공기 중 오존(O₃) 농도가 0.12ppm 이상이면 오존주의보가, 0.30ppm 이상이면 오존경보가, 0.50ppm 이상이면 오존중대경보가 각각 발령된다. 오존주의보가 발령되면 노약자와 어린이, 호흡기·심장질환자는 실외활동을 자제해야 한다. 일반인도 실외활동이나 과격한 운동을 하지 않는 것이 좋다. weather_news@yna.co.kr 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지> 2025/06/28 13:27 송고 2025년06월28일 13시27분 송고 #오존 댓글 좋아요 슬퍼요 화나요 후속요청 북마크 공유 공유하기 카카오톡 페이스북 X 페이스북 메신저 네이버 밴드 URL 복사 닫기 URL이 복사되었습니다. 댓글 글자크기 본문 글자 크기 조정 폰트 1단계 13px 폰트 2단계 16px 폰트 3단계 18px 폰트 4단계 20px 폰트 5단계 22px 닫기 프린트 제보"
"파독 광부의 치열한 삶 어루만진 강원도, 폐광지역 미래도 모색",2025-06-28 04:23:44,,"산업화 시대 대한민국을 지탱한 삼척 도계광업소가 역사 속으로 사라지는 가운데 강원특별자치도가 독일 대표 탄광도시에서 파독 광부들을 만나 치열했던 삶을 어루만지고 폐광지역의 활로를 모색했다. 울리히 베셀 DMT 교육 및 학술회사 대표이사는 ""탄광이라는 공통점을 가지고 해결 방안을 모색한다는 점에서 의미가 있다""며 ""독일은 폐광 이후 대체산업 육성 정책으로 에너지산업 발전에 힘을 쏟아왔는데 이런 경험을 공유하고 긴밀하게 협업하길 바란다""고 말했다. 김 지사는 ""폐광과 대체산업 육성에 대해 많은 경험을 가진 독일을 배우고자 이곳에 왔다""며 ""독일 에센은 이미 2001년 폐광 유산을 유네스코 문화유산으로 등록했다는 점이 놀랍다. 강원도 탄광의 세계유산 등재 노력에도 도움을 달라""고 말했다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다.전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"日, 美와 7차 관세협상…""정력적으로 조정 계속하기로""(종합)",2025-06-28 04:22:41,,"미국과 일본이 27일 미국 워싱턴DC에서 7차 관세협상을 벌였다. 일본은 그동안 액화천연가스와 옥수수를 비롯한 미국 상품 수입 확대, 미국산 반도체 수조원어치 구매 등을 협상 카드로 제시하며 타결을 모색했지만 자동차 관세에서 충분한 진척을 보지 못하고 있는 것으로 알려졌다. 일본은 대미 수출에서 3분의 1가량을 차지하는 자동차 관세 재조정을 협상의 핵심 사안이라고 강조해 왔다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다.전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
요진건설산업 창업주 최준명 회장 별세…향년 92세,2025-06-28 04:21:26,,"박초롱기자 구독 구독중 이전 다음 (서울=연합뉴스) 박초롱 기자 = 요진건설산업 창업주인 최준명 회장이 28일 별세했다. 향년 92세. 1933년 전남 영광에서 태어난 최 회장은 한양대 건축공학과를 졸업했으며, 1957년 동성상공에 입사하며 건설업계에 첫발을 디딘 1세대 건설인이다. 1976년 요진산업을 창업한 최 회장은 1988년 회장으로 취임한 뒤 주택, 토목, 유통, 호텔 등으로 사업 분야를 확장하며 회사를 중견 종합건설사로 키웠다. 요진건설산업은 최 회장이 '모든 답은 현장에 있다'는 철학 아래 현장 중심 경영을 실천했고, 모든 공정에 직접 관여했다고 전했다. 최 회장은 교육 사업과 인재 양성에도 중점을 뒀다. 2004년 사회복지법인 한국보육원 이사장, 2005년 학교법인 휘경학원 이사장을 맡았다. 스포츠 분야에도 관심을 기울여 2010년 요진건설골프단을 창단하고 유망 선수를 지원했다. 유족으로는 부인 김용자 여사와 장남 최성규(아이디에이 대표), 차남 최은상(요진건설산업 부회장), 장녀 최지원(와이씨앤티 대표)가 있다. 빈소는 연세대 신촌세브란스병원 장례식장 특실 1호에 마련됐으며, 발인은 30일 오전 7시다. 장지는 전북 익산 영모묘원이다. chopark@yna.co.kr 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지> 2025/06/28 13:21 송고 2025년06월28일 13시21분 송고 #요진건설산업 댓글 좋아요 슬퍼요 화나요 후속요청 북마크 공유 공유하기 카카오톡 페이스북 X 페이스북 메신저 네이버 밴드 URL 복사 닫기 URL이 복사되었습니다. 댓글 글자크기 본문 글자 크기 조정 폰트 1단계 13px 폰트 2단계 16px 폰트 3단계 18px 폰트 4단계 20px 폰트 5단계 22px 닫기 프린트 제보"
태국 푸껫·끄라비서 폭발물 테러 시도 적발…폭발물 6개 제거,2025-06-28 04:21:17,,"태국 당국이 세계적 관광지인 남부 푸껫과 인근 지역에 폭발물을 설치한 테러 시도를 적발, 용의자 2명을 체포하고 폭발물 6개를 제거했다. 28일 현지 매체 방콕포스트·카오솟 등에 따르면 태국 경찰은 최근 푸껫 인근 팡응아주에서 용의자인 29세와 27세 남성 2명을 체포하고 이들의 차량에서 폭발물을 압수했다. 경찰은 이들로부터 푸껫 일대에 4개 폭발물을 설치했다는 진술을 받고 수색에 나서 사제 폭발물로 추정되는 장치 4개를 찾아내 해체했다. 인공지능이 자동으로 줄인 '세 줄 요약' 기술을 사용합니다.전체 내용을 이해하기 위해서는 기사 본문과 함께 읽어야 합니다."
"'수익금 반영' 군산CC 오픈 상금, 이미 작년 초과…최고액 예약",2025-06-28 04:13:12,,"최송아기자 구독 구독중 이전 다음 (군산=연합뉴스) 최송아 기자 = 기본 상금에 각종 대회 수익금을 더해 최종 상금이 결정되는 한국프로골프(KPGA) 투어 군산CC 오픈 총상금이 이미 지난해를 넘어서서 역대 최고액을 경신했다. 28일 KPGA에 따르면 전날 2라운드 종료를 기준으로 이번 대회 총상금은 9억8천393만5천원이다. 주최사인 군산 컨트리클럽은 프로암 판매와 1∼3라운드의 갤러리 입장권, 식음료, 대회 기념품 판매 수입 등을 대회 총상금에 추가하고 있다. 최종 라운드 수익금은 이듬해 총상금으로 이월된다. 올해는 기본 총상금 7억원으로 시작, 지난해 최종일 수익금 1천393만5천원, 1라운드 수익금 1억7천만원, 2라운드 1억원이 추가돼 9억8천393만5천원으로 늘었다. 지난해 최종 총상금은 9억7천929만7천원이었는데, 올해 2라운드 종료를 기준으로 이미 이 금액을 초과하면서 대회 역대 최다 총상금이 예약됐다. 우승 상금도 지난해의 1억9천585만원보다 올라가게 됐다. 토요일인 이날 3라운드에 발생하는 수익금이 29일 최종 라운드에 앞서 마지막으로 더해질 예정인 가운데 처음으로 총상금 10억원 돌파도 기대된다. songa@yna.co.kr 관련 뉴스 2연승 향해 '몰아치기 시작' 옥태훈 ""주말은 더 공격적으로""(종합) 대회 전날 아이언 바꾸고 우승 경쟁…강성훈 ""전 잃을 게 없어"" 문도엽, KPGA 군산CC 오픈 2R 선두 도약…첫 '시즌 2승' 정조준 김백준, KPGA 군산CC 오픈 1R 8언더파 선두…이수민 1타 차 2위 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지> 2025/06/28 13:13 송고 2025년06월28일 13시13분 송고 #KPGA #군산CC 댓글 좋아요 슬퍼요 화나요 후속요청 북마크 공유 공유하기 카카오톡 페이스북 X 페이스북 메신저 네이버 밴드 URL 복사 닫기 URL이 복사되었습니다. 댓글 글자크기 본문 글자 크기 조정 폰트 1단계 13px 폰트 2단계 16px 폰트 3단계 18px 폰트 4단계 20px 폰트 5단계 22px 닫기 프린트 제보"
경남 하동 오존주의보 발령,2025-06-28 04:12:21,,"(창원=연합뉴스) 28일 오후 1시를 기해 경남 하동에 오존주의보가 내려졌다고 환경부 한국환경공단이 전했다. 발령 지역 시간 평균 오존 농도는 오후 1시 현재 0.1327ppm(100만분의 1)을 기록하고 있다. 1시간 평균 공기 중 오존(O₃) 농도가 0.12ppm 이상이면 오존주의보가, 0.30ppm 이상이면 오존경보가, 0.50ppm 이상이면 오존중대경보가 각각 발령된다. 오존주의보가 발령되면 노약자와 어린이, 호흡기·심장질환자는 실외활동을 자제해야 한다. 일반인도 실외활동이나 과격한 운동을 하지 않는 것이 좋다. weather_news@yna.co.kr 제보는 카카오톡 okjebo <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지> 2025/06/28 13:12 송고 2025년06월28일 13시12분 송고 #오존 댓글 좋아요 슬퍼요 화나요 후속요청 북마크 공유 공유하기 카카오톡 페이스북 X 페이스북 메신저 네이버 밴드 URL 복사 닫기 URL이 복사되었습니다. 댓글 글자크기 본문 글자 크기 조정 폰트 1단계 13px 폰트 2단계 16px 폰트 3단계 18px 폰트 4단계 20px 폰트 5단계 22px 닫기 프린트 제보"
