제목,날짜,기자명,본문
진주 고물상서 불나 5개 점포 전소…4시간 만에 진화(종합),2025-06-28 05:04:43,정종호,"정종호기자 한때 대응 1단계·인명피해 없어 (진주=연합뉴스) 정종호 기자 = 28일 오전 8시 21분께 경남 진주시 상평동 한 고물상에서 불이 나 약 4시간 만에 꺼졌다. 불은 인근 타이어 가게 등 주변으로 옮겨붙어 총 5개 점포가 전소했다. 인명피해나 대피 인원은 없었다. 소방 당국은 이날 오전 8시 31분께 대응 1단계((3∼7개 소방서에서 31∼50대의 장비를 동원하는 경보령)를 발령했다가 약 17분 뒤 해제하고 오전 9시 40분께 큰 불길을 잡았다. 이후 진화작업을 벌이던 소방 당국은 4시간 20분 만인 이날 낮 12시 41분께 불을 모두 껐다. 경찰과 소방 당국은 정확한 화재 원인과 재산 피해 금액 등을 조사할 계획이다. jjh23@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
[인사] 전북 남원시,2025-06-28 04:58:54,백도인,"백도인기자 ◇ 4급(서기관) 승진 ▲ 주민복지과 허인선 ▲ 대산면 류창 ▲ 관광시설과 박준기 ◇ 5급(사무관) 승진 ▲ 시민소통담당관 변정현·이영규 ▲ 재정과 오미선 ▲ 관광과 강탁원 ▲ 기업정책과 최성조 ▲ 보건소 이미경 (남원=연합뉴스) <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
"이양수 ""권오을, 선거법 위반 확정에도 선거보전비 2.7억 미반환""",2025-06-28 04:57:50,윤동진,"김영신기자 權 ""청문회에서 소상히 밝힐 것"" (서울=연합뉴스) 김영신 기자 = 권오을 국가보훈부 장관 후보자가 과거 공직선거법 위반에 따라 반환해야 할 선거보전비용 2억7천400여만원을 현재까지 반환하지 않고 있다는 지적이 나왔다. 국회 정무위원회 소속 국민의힘 이양수 의원은 28일 보도자료를 내고 보훈부로부터 받은 권 후보자 인사청문회 자료를 토대로 이같이 밝혔다. 권 후보자는 2018년 지방선거 때 바른미래당 소속으로 경북도지사에 출마했다가 낙선했다. 선거 당시 선거운동원으로 신고하지 않은 활동가에게 선거 후 금품을 지급해 공직선거법 위반 혐의로 재판에 넘겨져 2021년 4월 대법원에서 징역 10월에 집행유예 2년 선고가 확정된 바 있다. 공직선거법에 따르면 당선자나 후보자가 공직선거법 또는 정치자금법 위반 등의 사유로 당선 무효형이 확정되면 보전받은 선거비용 전부를 반환 사유 발생일로부터 30일 이내에 반환해야 한다. 이 의원은 ""권 후보자는 2021년 5월 경북선거관리위원회로부터 2억7천400여만원을 반환하라는 명령을 받았지만, 현재까지 전혀 내지 않고 해당 금액 전액을 채무 금액으로 신고했다""며 ""법원의 확정판결이 나왔는데도 국민 혈세를 아직 반환하지 않는 것""이라고 지적했다. 권 후보자는 해당 공직선거법 사건에 대해 지난해 8·15 광복절에 특별 사면된 상태다. 권 후보자는 연합뉴스에 이 사건 재심을 청구해 다퉈볼 생각이 있다며 ""모든 내용을 청문회에서 소상하게 밝히겠다""는 입장을 밝혔다. shiny@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
"尹측, 특검 '경찰 신문'에 반발…""검사가 직접 신문해야""(종합)",2025-06-28 04:50:55,서명곤,"이영섭기자 구독 구독중 김다혜기자 오전조사 직후 입장문 ""파견 경찰이 수사 주도, 민망함 없나""출석 후 건건이 충돌…""혐의 인정 안돼…적법절차 위반 폭주"" (서울=연합뉴스) 김다혜 이영섭 기자 = 윤석열 전 대통령 측은 28일 내란 특별검사팀 조사의 시작을 파견 경찰이 맡은 데 반발하며 이들을 수사에서 배제하라고 요구했다. 윤 전 대통령 법률대리인단은 이날 오전 조사가 끝난 후 언론에 베포한 입장문에서 ""공무집행을 가장한 불법행위로 고발된 경찰이 직접 조사하는 게 특검식 수사인가""라며 ""특검 사무실에서 파견된 경찰이 수사를 주도하는 것에 어떠한 민망함도 없는 것인지""라고 비판했다. 그러면서 ""조사에 입회한 변호인들은 검사가 직접 신문할 것, 고발된 경찰들은 이해충돌에 해당하며 현저하게 공정을 결여한 것으로 수사에서 배제할 것을 요구하고 있다""고 밝혔다. 내란 특검은 이날 오전 10시 14분부터 낮 12시 44분께까지 윤 전 대통령을 상대로 지난 1월 대통령경호처에 고위공직자범죄수사처의 체포영장 집행을 막으라고 지시한 혐의를 집중적으로 확인했다. 조사는 앞서 사건을 수사해온 박창환 경찰청 중대범죄수사과장(총경)이 맡았다. 윤 전 대통령 대리인단은 앞서 오전 9시 55분께 윤 전 대통령이 서울고검에 출석한 직후 낸 입장문에서도 공개 소환을 고수한 특검팀을 강도 높게 비판했다. 대리인단은 ""법령과 적법절차를 위반해 폭주하는 특검은 법 위의 존재인가? 특별검사도 검사일 뿐""이라며 ""말장난과 존재하지 않는 사실로 전직 대통령을 소환해 조사하겠다는 것은 수사가 아니라 조작을 하겠다는 것과 다르지 않다. 정치적 선동이자 여론몰이일 뿐""이라고 주장했다. 또 ""수사기관은 피의자에게 출석을 요구할 때 피의자의 명예 또는 사생활의 비밀이 침해되지 않도록 해야 하며 조사 일시·장소에 관해서도 사전에 협의해야 한다""면서 ""일방적으로 통보하거나 출석 장면을 공개해 피의자의 인권을 침해해서는 안 된다""고 강조했다. 이어 ""이는 수사기관에 대한 단순한 권고가 아니라 법령으로 수사기관에 부..."
"우진문화재단, 명창들의 '판소리 다섯바탕' 7월 1∼5일 개최",2025-06-28 04:49:12,백도인,"백도인기자 (전주=연합뉴스) 백도인 기자 = 우진문화재단은 명창들의 릴레이 공연인 '판소리 다섯 바탕의 멋'을 다음 달 1∼5일에 전북 전주시 우진문화공간 예술극장에서 연다고 28일 밝혔다. 5명의 명창이 정통 유파의 다섯 바탕을 하루 한바탕씩 무대에 올리는 공연으로, 올해로 34회째를 맞는다. 올해는 유태평양의 미산제 흥보가, 정은혜의 박초월제 수궁가, 이봉근의 박봉술제 적벽가, 민은경의 김세종제 춘향가, 장문희의 동초제 심청가가 차례로 무대에 오른다. 전석 1만원이며, 문의는 우진문화재단(☎ 063-272-7223)으로 하면 된다. 우진문화재단은 전북의 대표적 문화예술 지원단체로, 지역 문화예술인의 창작활동을 돕는 다양한 공연을 진행하고 있다. 김보라 우진문화재단 이사장은 ""소리의 본향 전주에서 최고의 명창들이 펼치는 전통예술의 향연""이라면서 ""판소리의 깊이와 생명력을 고스란히 전하며 보존과 전승의 산 교육장 역할을 할 것""이라고 말했다. doin100@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
대구 오존주의보 발령,2025-06-28 04:27:24,news,"(대구=연합뉴스) 28일 오후 1시를 기해 대구(군위군 제외)에 오존주의보가 내려졌다고 환경부 한국환경공단이 전했다. 발령 지역 시간 평균 오존 농도는 오후 1시 현재 0.1237ppm(100만분의 1)을 기록하고 있다. 1시간 평균 공기 중 오존(O₃) 농도가 0.12ppm 이상이면 오존주의보가, 0.30ppm 이상이면 오존경보가, 0.50ppm 이상이면 오존중대경보가 각각 발령된다. 오존주의보가 발령되면 노약자와 어린이, 호흡기·심장질환자는 실외활동을 자제해야 한다. 일반인도 실외활동이나 과격한 운동을 하지 않는 것이 좋다. weather_news@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
"파독 광부의 치열한 삶 어루만진 강원도, 폐광지역 미래도 모색",2025-06-28 04:23:44,이재현,"이재현기자 도계광업소 폐광 소식 전한 김진태 지사 ""세계기록유산 등재 노력""수영장·문화 공간 등으로 탈바꿈한 독일 탄광 시설…""대체산업 전환 협력"" (에센·보훔=연합뉴스) 이재현 기자 = 산업화 시대 대한민국을 지탱한 삼척 도계광업소가 역사 속으로 사라지는 가운데 강원특별자치도가 독일 대표 탄광도시에서 파독 광부들을 만나 치열했던 삶을 어루만지고 폐광지역의 활로를 모색했다. '미래산업 글로벌 도시' 실현을 위해 유럽을 방문 중인 김진태 도지사와 김시성 도의장을 비롯한 도 유럽 방문단은 27일(현지 시간) 독일 대표 탄광지역인 보훔(Bochum)과 에센(Essen)을 방문했다. 이날 에센에 위치한 파독광부기념회관을 찾은 도 방문단은 파독광부협회인 '재독한인글뤽아우프회' 회원 30여명과 간담회를 했다. '글뤽 아우프'(Glueck Auf)는 '(깊은 갱도에서) 무사히 올라오라'는 의미로 탄광 갱도에 들어갈 때 교대하는 광부들이 나누는 독일어 인사말이다. 8년 전부터 김진태 도지사와 인연을 이어온 파독 광부들은 도 방문단을 크게 환영하며 모처럼 이야기꽃을 피웠다. 파독광부협회 회원들은 2년 전인 2023년 9월 첫 파독(1963년) 60주년을 기념해 강원도를 방문하기도 했다. 도 방문단은 큰 환대 속에 파독 광부들의 역사적 기록과 실체 탄광 도구 등을 둘러봤고, 역경을 딛고 일어섰던 생생한 경험담을 들으며 과거 치열했던 파독 광부들의 삶에 존경을 표했다. 김 지사는 ""여기 계신 분 중에는 태백 장성광업소와 삼척 도계광업소 등에서 실습 교육 받고서 독일로 오신 분들이 적지 않은데, 이제 강원도의 탄광도 문을 닫게 됐다""고 오는 30일 삼척 도계광업소의 폐광 소식을 전했다. 그러면서 ""여러분 덕분에 대한민국이 잘살게 된 것을 잊지 않고 있으며, 이제는 폐광지역을 미래산업으로 육성해 나가려고 한다""며 ""독일 에센이 2001년 유네스코 세계문화유산으로 지정된 것처럼 강원도 폐광지역 역시 대한민국의 역사로 유엔의 역사로 등재될 수 있도록 노력해 나가겠다""고 약속했다. 방문단..."
"日, 美와 7차 관세협상…""정력적으로 조정 계속하기로""(종합)",2025-06-28 04:22:41,경수현,"경수현기자 日담당 각료 체류 일정 늘려 美재무장관 등과 추가 협상 계획 (도쿄=연합뉴스) 경수현 특파원 = 미국과 일본이 27일(현지시간) 미국 워싱턴DC에서 7차 관세협상을 벌였다. 일본 정부의 발표 자료에 따르면 이날 양측 협상 대표인 하워드 러트닉 미국 상무장관과 아카자와 료세이 일본 경제재생상은 약 65분간 만나 무역 확대, 비관세 조치, 경제안보 분야 협력 등에 대해 논의했다. 일본 정부는 ""양측은 미일 모두에게 이익이 되는 합의를 실현할 수 있도록 정력적으로 조정을 계속해가기로 했다""고 전했다. 애초 29일 일본에 귀국할 예정이던 아카자와 경제재생상은 스콧 베선트 재무부 장관을 비롯해 미측과 추가 협상을 위해 체류 일정을 늘리기로 했다고 NHK가 28일 일본 정부 관계자를 인용해 보도했다. 이번 협상은 도널드 트럼프 대통령과 이시바 시게루 총리가 지난 16일 주요 7개국(G7) 정상회의를 계기로 캐나다에서 30분간 만나 관세 문제 등을 협의하고서도 결론을 내지 못한 뒤 처음 열린 것이다. 일본은 그동안 액화천연가스(LNG)와 옥수수를 비롯한 미국 상품 수입 확대, 미국산 반도체 수조원어치 구매 등을 협상 카드로 제시하며 타결을 모색했지만 자동차 관세에서 충분한 진척을 보지 못하고 있는 것으로 알려졌다. 일본은 대미 수출에서 3분의 1가량을 차지하는 자동차 관세 재조정을 협상의 핵심 사안이라고 강조해 왔다. 미국은 협상 초기부터 상호관세에서 일률적으로 부과한 10%에 더해 국가별로 차등해 추가 적용하는 관세(일본은 14%)만 협의가 가능하고, 자동차·철강·알루미늄 관세 등 품목별 관세 조정에 대해서는 난색을 보여온 것으로 알려졌다. evan@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
요진건설산업 창업주 최준명 회장 별세…향년 92세,2025-06-28 04:21:26,박초롱,"박초롱기자 (서울=연합뉴스) 박초롱 기자 = 요진건설산업 창업주인 최준명 회장이 28일 별세했다. 향년 92세. 1933년 전남 영광에서 태어난 최 회장은 한양대 건축공학과를 졸업했으며, 1957년 동성상공에 입사하며 건설업계에 첫발을 디딘 1세대 건설인이다. 1976년 요진산업을 창업한 최 회장은 1988년 회장으로 취임한 뒤 주택, 토목, 유통, 호텔 등으로 사업 분야를 확장하며 회사를 중견 종합건설사로 키웠다. 요진건설산업은 최 회장이 '모든 답은 현장에 있다'는 철학 아래 현장 중심 경영을 실천했고, 모든 공정에 직접 관여했다고 전했다. 최 회장은 교육 사업과 인재 양성에도 중점을 뒀다. 2004년 사회복지법인 한국보육원 이사장, 2005년 학교법인 휘경학원 이사장을 맡았다. 스포츠 분야에도 관심을 기울여 2010년 요진건설골프단을 창단하고 유망 선수를 지원했다. 유족으로는 부인 김용자 여사와 장남 최성규(아이디에이 대표), 차남 최은상(요진건설산업 부회장), 장녀 최지원(와이씨앤티 대표)가 있다. 빈소는 연세대 신촌세브란스병원 장례식장 특실 1호에 마련됐으며, 발인은 30일 오전 7시다. 장지는 전북 익산 영모묘원이다. chopark@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
태국 푸껫·끄라비서 폭발물 테러 시도 적발…폭발물 6개 제거,2025-06-28 04:21:17,박진형,"박진형기자 용의자 2명 체포…""관광객 불안 조성하려 한 듯"" (하노이=연합뉴스) 박진형 특파원 = 태국 당국이 세계적 관광지인 남부 푸껫과 인근 지역에 폭발물을 설치한 테러 시도를 적발, 용의자 2명을 체포하고 폭발물 6개를 제거했다. 28일(현지시간) 현지 매체 방콕포스트·카오솟 등에 따르면 태국 경찰은 최근 푸껫 인근 팡응아주에서 용의자인 29세와 27세 남성 2명을 체포하고 이들의 차량에서 폭발물을 압수했다. 경찰은 이들로부터 푸껫 일대에 4개 폭발물을 설치했다는 진술을 받고 수색에 나서 사제 폭발물로 추정되는 장치 4개를 찾아내 해체했다. 이들은 푸껫 국제공항 여객터미널 근처에 폭발물을 집어넣은 오토바이 1대를 놔뒀으며, 푸껫 서쪽 빠통 해변에 폭발물 2개, 푸껫 남단 쁘롬텝 곶에 1개를 각각 설치한 것으로 나타났다. 경찰은 이 밖에도 푸껫 인근 끄라비주의 해변 2곳에서 폭발물 의심 장치 2개를 찾아내 제거했다. 이들 폭발물이 설치된 장소는 대부분 관광객들의 왕래가 많은 관광지였다. 용의자 2명은 자신들이 남부 빠따니주 출신으로 달아난 공범 2명과 함께 끄라비주를 거쳐 푸껫으로 이동하면서 폭발물을 설치했다고 말했다. 이들의 범행 동기는 아직 불확실하다. 다만 무슬림 인구가 많은 나라티왓·빠따니·얄라 등 태국 최남단 3개 주와 송클라주 일부에서는 무슬림 세력이 분리 독립을 주장하면서 총기와 폭탄을 동원한 테러를 벌여 왔다. 태국 당국은 연초 중국인 관광객 등 납치 사건으로 침체에 빠진 관광산업이 이번 사건으로 한층 어려움이 커질까 우려하고 있다. 패통탄 친나왓 총리는 이번 사건이 해당 지역에 불안을 조성하려는 시도로 보인다면서 모든 관련 당국에 최고 경계 태세를 갖추도록 지시했다. 또 관광객들의 안전한 여행을 보장하겠다고 덧붙였다. jhpark@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
"'수익금 반영' 군산CC 오픈 상금, 이미 작년 초과…최고액 예약",2025-06-28 04:13:12,최송아,"최송아기자 (군산=연합뉴스) 최송아 기자 = 기본 상금에 각종 대회 수익금을 더해 최종 상금이 결정되는 한국프로골프(KPGA) 투어 군산CC 오픈 총상금이 이미 지난해를 넘어서서 역대 최고액을 경신했다. 28일 KPGA에 따르면 전날 2라운드 종료를 기준으로 이번 대회 총상금은 9억8천393만5천원이다. 주최사인 군산 컨트리클럽은 프로암 판매와 1∼3라운드의 갤러리 입장권, 식음료, 대회 기념품 판매 수입 등을 대회 총상금에 추가하고 있다. 최종 라운드 수익금은 이듬해 총상금으로 이월된다. 올해는 기본 총상금 7억원으로 시작, 지난해 최종일 수익금 1천393만5천원, 1라운드 수익금 1억7천만원, 2라운드 1억원이 추가돼 9억8천393만5천원으로 늘었다. 지난해 최종 총상금은 9억7천929만7천원이었는데, 올해 2라운드 종료를 기준으로 이미 이 금액을 초과하면서 대회 역대 최다 총상금이 예약됐다. 우승 상금도 지난해의 1억9천585만원보다 올라가게 됐다. 토요일인 이날 3라운드에 발생하는 수익금이 29일 최종 라운드에 앞서 마지막으로 더해질 예정인 가운데 처음으로 총상금 10억원 돌파도 기대된다. songa@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
경남 하동 오존주의보 발령,2025-06-28 04:12:21,news,"(창원=연합뉴스) 28일 오후 1시를 기해 경남 하동에 오존주의보가 내려졌다고 환경부 한국환경공단이 전했다. 발령 지역 시간 평균 오존 농도는 오후 1시 현재 0.1327ppm(100만분의 1)을 기록하고 있다. 1시간 평균 공기 중 오존(O₃) 농도가 0.12ppm 이상이면 오존주의보가, 0.30ppm 이상이면 오존경보가, 0.50ppm 이상이면 오존중대경보가 각각 발령된다. 오존주의보가 발령되면 노약자와 어린이, 호흡기·심장질환자는 실외활동을 자제해야 한다. 일반인도 실외활동이나 과격한 운동을 하지 않는 것이 좋다. weather_news@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
EPL 중계도 미국식으로?…경기 중 교체선수 인터뷰 등 예정,2025-06-28 04:00:37,배진남,"배진남기자 (서울=연합뉴스) 배진남 기자 = 잉글랜드 프로축구 프리미어리그(EPL) TV 중계에 다음 시즌부터 경기 중 교체된 선수의 인터뷰 등이 도입될 전망이다. 영국 일간 텔레그래프는 27일(현지시간) ""프리미어리그 TV 중계가 2025-2026시즌부터 미국 스타일로 전면 개편된다""고 전했다. 보도에 따르면 이 같은 변화는 새 시즌부터 역대 최고액인 67억파운드(약 12조 5천400억원) 규모의 4년짜리 영국 내 중계권 계약이 새로 시작되면서 중계방송사인 스카이스포츠와 TNT스포츠가 중계권료에 상응하는 가치를 얻겠다며 요청한 데 따른 것이다. 개편안에는 교체된 선수들의 경기 중 터치라인 인터뷰를 포함해 카메라맨이 그라운드에 들어가 골 세리머니 장면을 근접 촬영하고 라커룸도 출입할 수 있도록 하는 방안이 들어 있다. 미국 스포츠 중계에서는 흔히 볼 수 있지만 영국에서는 거의 시도하지 않았던 것들이다. 본머스의 마커스 태버니어가 지난해 10월 사우샘프턴과의 경기에서 교체된 후 방송 인터뷰를 하는 등 개편안 일부는 이미 지난 시즌 시험을 거친 것으로 알려졌다. 텔레그래프는 ""미국 라이벌들과 보조를 맞춰야 한다는 방송사들의 요구에 따라 이제 그 어느 때보다 현장에 가깝게 중계할 수 있도록 하는 협정이 체결됐다""면서 ""소식통은 이 세 가지 혁신적인 기술이 모든 경기에서 동시에 활용될 가능성은 작다고 강조한다. 그러나 시청자들은 곧 교체된 선수들이 충분히 진정된 후 경기가 진행되는 동안 터치라인 근처에서 인터뷰하는 모습을 볼 수 있을 것""이라고 설명했다. 또한 ""라커룸에서도 카메라 사용이 허용되지만, 감독이 팀 미팅을 할 때는 절대 허용되지 않는다""고 덧붙였다. 탈의실 안으로 카메라가 들어오는 것에 대해서는 일부 감독이 꺼리는 것으로 알려졌고, 오랫동안 구단 관련 다큐멘터리를 제작해 온 아스널과 맨체스터 시티 같은 구단들도 계약 문제로 난색을 보일 가능성이 있다는 게 이 매체의 전망이다. hosu1@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI..."
"미 국방부, 인권운동가 기린 군함 명칭 2차대전 해군으로 변경",2025-06-28 03:56:28,임지우,"임지우기자 한국전 참전 동성애 운동가 하비 밀크 이름 떼고 '피터슨호' 명명 (서울=연합뉴스) 임지우 기자 = 피트 헤그세스 미 국방부 장관은 한국전쟁에 참전한 동성애 인권운동가의 이름을 딴 군함 '하비 밀크호'의 명칭을 2차대전 참전 병사 오스카 V.피터슨의 이름으로 변경한다고 27일(현지시간) 밝혔다. AP 통신에 따르면 피터슨은 2차 세계대전 당시 미 해군 수석 부사관으로 복무한 인물로, 1942년 호주 북동부에서 벌어진 '산호해 전투'에 참여했다. 당시 피터슨이 탄 미 군함은 일본군의 공격을 받아 선체 일부가 손상됐는데, 피터슨은 부상 상태로도 선박의 격실을 차단하는 밸브를 잠가 배가 완전히 가라앉는 것을 막았다. 피터슨은 당시 입은 부상으로 숨졌으며 사후 전과를 인정받아 미군 최고 훈장을 받았다. 미 해군은 1943년 피터슨의 이름을 딴 호위함을 한 척 운영한 바 있으며 이 배는 20년간 복무한 뒤 1965년 퇴역했다. 하비 밀크호의 명칭 변경은 도널드 트럼프 미국 대통령 행정부의 DEI(다양성·형평성·포용성) 정책 폐기의 일환으로 풀이된다. 하비 밀크는 미국 동성애 인권운동을 상징하는 인물 중 하나로, 대학 졸업 후 해군에 입대해 한국 전쟁에 참전했다. 동성애자라는 이유로 해군에서 강제 퇴역당한 그는 이후 동성애자 인권운동에 매진했으며, 샌프란시스코 시의원에도 당선됐으나 1978년 암살당했다. 미 국방부는 2016년 하비 밀크의 인권운동 업적을 기리기 위해 군함에 그의 이름을 붙이기로 결정하고 2021년 해군 군사해상운송사령부 소속 '존 루이스 급(級)' 급유선 중 한 척을 하비 밀크호로 명명했다. 그러나 올해 들어선 트럼프 행정부가 군대를 비롯한 각 분야에서 진보 의제 및 정체성을 삭제하는 이른바 'DEI 철폐'를 강도 높게 밀어붙이면서 미 국방부는 해당 군함에서 하비 밀크의 이름을 떼기로 결정했다. 개빈 뉴섬 캘리포니아 주지사를 비롯한 민주당 인사들은 이러한 결정에 성소수자 인물들의 공적을 지우려는 부적절한 시도라며 반발했다. 특히 6월은 전 세..."
"특검 ""尹 오전조사 종료…체포방해 마무리되면 국무회의 조사""",2025-06-28 03:52:04,서명곤,"이보배기자 구독 구독중 이영섭기자 구독 구독중 권지현기자 ""김정국·조재철 부장검사 참여…외환 혐의 등도 조사 예정"" (서울=연합뉴스) 이보배 이영섭 권지현 기자 = 28일 내란 특별검사팀의 윤석열 전 대통령에 대한 오전 조사가 마무리됐다. 내란 특검은 이날 낮 12시 44분께 언론 공지를 통해 ""오전 조사는 잘 진행됐다""고 밝혔다. 특검은 오전 10시 14분부터 윤 전 대통령을 상대로 지난 1월 대통령경호처에 고위공직자범죄수사처의 체포영장 집행을 막으라고 지시한 혐의를 집중적으로 확인했다. 조사는 앞서 사건을 수사해온 박창환 경찰청 중대범죄수사과장(총경)이 맡았다. 특검은 점심 식사 시간이 끝나면 오후에 체포 방해 혐의 사건 조사를 마무리한 뒤 비상계엄 전후 국무회의 의결 과정 및 외환 혐의 등에 대한 조사를 이어갈 방침이다. 국무회의 등과 관련한 조사에는 김정국(사법연수원 35기) 부장검사와 조재철(36기) 부장검사가 참여한다. bobae@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
"111억 가로챈 투자리딩방 20대 총책, 필리핀서 강제송환",2025-06-28 03:51:00,이동환,"이동환기자 (서울=연합뉴스) 이동환 기자 = 100억원이 넘는 돈을 가로챈 투자리딩방 사기 총책이 28일 오전 필리핀에서 강제 송환됐다. 경찰청은 이날 오전 투자 전문가를 사칭하며 리딩방을 운영한 A(26)씨를 필리핀 현지에서 검거해 인천국제공항을 통해 강제 송환했다고 밝혔다. A씨는 가상자산이나 비상장주식 등 투자를 권유해 피해자 199명으로부터 약 111억원을 편취한 혐의를 받고 있다. 국내외 공범 31명(검거 29명)에게 드라마 '종이의집'에 나오는 캐릭터인 '교수', '베를린', '리우' 등 가명을 붙이기도 했다. 경찰청은 2023년 8월부터 국제형사경찰기구(인터폴) 적색 수배를 신청하고 한국·필리핀 합동 작전팀을 편성해 집중 추적에 나섰다. 전방위 첩보 수집 끝에 A씨의 은신처를 찾아내 지난해 11월 24시간 감시조를 배치했다. 결국 경찰관 10여명이 현장을 급습해 A씨를 포함한 조직원 5명을 검거했다. 검거된 조직원 2명은 지난 2월과 3월 국내로 강제 송환됐고, 나머지 2명은 필리핀 이민청 수용소에서 추방 대기 중인 것으로 전해졌다. dhlee@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
"워런 버핏, 게이츠재단 등에 8조원 쾌척…역대 최대 기부",2025-06-28 03:38:46,김용래,"김용래기자 사별 첫 부인과 자녀들이 이끄는 재단에도 기부 (서울=연합뉴스) 김용래 기자 = 미국의 전설적인 투자자 워런 버핏(94) 버크셔 해서웨이 회장이 주식 약 60억 달러(약 8조원) 어치를 빌 게이츠 재단과 가족이 관여하는 재단들에 기부했다. 27일(현지시간) 로이터통신에 따르면 버핏은 이날 자신이 회장으로 있는 버크셔 해서웨이 주식 1천236만 주를 기부했다. 버핏은 빌 게이츠가 설립한 게이츠 재단에 943만 주를, 사별한 첫 부인인 수전 톰슨 버핏의 이름을 딴 재단에 94만 주를 기부했고, 자녀들인 하워드·수지·피터가 각각 이끄는 3개 재단에 66만 주씩을 기부했다. 수전 톰슨 버핏 재단은 모성 건강 등을 지원하고 있으며, 세 자녀가 이끄는 재단은 인신매매 근절과 분쟁 종식, 유아교육, 여성과 원주민공동체 등을 위한 자선사업을 펼치고 있다. 이번 기부 규모는 버핏이 2006년부터 재산을 기부해 오기 시작한 이래 가장 큰 액수의 연간 기부로, 그의 누적 기부액은 총 600억 달러(약 82조원)를 넘겼다. 버핏은 지난해에도 6월 53억 달러, 11월에 11억4천만 달러를 가족 재단에 기부한 바 있다. 재산 대부분을 기부하겠다고 여러 차례 밝혀온 버핏은 이번 기부 이후에도 여전히 버크셔 해서웨이 지분의 13.8%를 보유 중이다. 버크셔 해서웨이는 네브래스카주 오마하에 본사를 둔 투자·보험 지주회사로 시가총액 1조500억 달러(1천443조원 상당)에 달한다. 로이터에 따르면 버핏의 순자산은 1천520억 달러(약 207조원) 가량으로 포브스 집계 기준으로 세계 5위 부자였지만, 이번 기부로 6위로 순위가 한 계단 하락할 것으로 보인다. 버핏은 지난달 초 깜짝 은퇴를 발표해 전 세계 투자자들을 놀라게 했다. 그는 자신이 60년간 버크셔 해서웨이의 최고경영자(CEO)직을 내년 1월 1일자로 후계자인 그레그 에이블 부회장에게 물려주고 경영과 투자 일선에서 물러날 예정이다. 다만 버크셔 해서웨이의 이사회 회장 직함은 계속 유지하기로 했다. yonglae@yna.co..."
"다저스 오타니, 시즌 29호 홈런·7번째 3루타…김혜성은 또 결장",2025-06-28 03:31:32,하남직,"하남직기자 (서울=연합뉴스) 하남직 기자 = 오타니 쇼헤이(로스앤젤레스 다저스)가 홈런과 3루타를 작렬하며 2타점을 올렸다. 반면 김혜성(다저스)은 또 벤치만 지켰다. 다저스는 28일(한국시간) 미국 미주리주 카우프먼 스타디움에서 열린 2025 미국프로야구 메이저리그(MLB) 방문 경기에서 캔자스시티 로열스를 5-4로 꺾고, 5연승 행진을 벌였다. 1번 지명타자로 선발 출전한 오타니는 1회초 상대 왼손 선발 노아 캐머런의 체인지업을 걷어 올려, 시속 178㎞로 131ｍ를 날아간 좌중월 솔로포를 터뜨렸다. 올 시즌 오타니의 8번째 1회 선두타자 홈런이다. 오타니는 시즌 29번째 아치를 그려 내셔널리그 홈런 단독 선두도 질주했다. 다저스가 3-4로 뒤진 5회초 무사 1루, 오타니는 캐머런의 시속 150㎞ 직구를 받아쳐 우중간을 가르는 동점 3루타를 쳤다. 올 시즌 오타니의 7번째 3루타다. 오타니는 무키 베츠의 중전 안타로 홈을 밟아 득점도 추가했다. 이날 오타니는 3타수 2안타 2타점 2득점 1볼넷으로 활약했다. 지독한 플래툰 시스템(상대 투수 유형에 따라 출전 선수를 결정하는 전략)에 갇힌 우투좌타 김혜성은 이날 캔자스시티가 왼손 선발 투수를 내보내 선발 라인업에서 빠졌다. 교체 출전도 하지 못했다. 김혜성은 0.372(78타수 29안타)의 높은 타율을 유지하고 있지만, 최근 4경기에서 모두 선발 라인업에서 제외되고 대수비로만 한 번 그라운드를 밟았다. jiks79@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>"
