제목,날짜,기자명,본문
&quot;학교 비정규직 처우 개선하고 노동 존중 학교문화 조성&quot;,2022-03-16 18:50:00,전라포럼,"그는 먼저 &quot;일반직 공무원과 비정규직에 대한 노무는 통일된 접근이 어려운 실정&quot;이라며 &quot;노동정책 총괄부서를 신설, 권한과 책임을 부여해 관료적ㆍ행정적 접근이 아닌 정무적ㆍ정책책으로 접근할 것&quot;이라고 말했다. 또..."
천호성 전북교육감 예비후보 &quot;비정규직 처우 개선하겠다&quot;,2022-03-16 11:07:00,강교현,"그는 먼저 &quot;일반직 공무원과 비정규직에 대한 노무는 통일된 접근이 어려운 실정&quot;이라며 &quot;노동정책 총괄부서를 신설, 권한과 책임을 부여해 관료적·행정적 접근이 아닌 정무적·정책책으로 접근할 것&quot;이라고 말했다. 또..."
대선 앞두고 국정감사 관심 '뚝'…'맹탕 국감' 우려 [여의도 인사이드],2021-09-27 15:38:00,경동영상,행정부의 정책책 실패에 대한 검토나 감사가 가장 집중적으로 이뤄지는 시기이기도 하다. 하지만 국회 관계자 및 정부 소속 국회 협력관 등에 따르면 자료 요청의 숫자 자체가 줄어들었다는 전언이다. 한 공공기관 A 소속의...
"“스마트 물류 전환, 기업 생존에 필수···정부가 지원해야”",2021-05-28 15:09:00,로그인,"유통업계가 자율주행과 드론택배, 창고로봇 등 스마트 물류로 전환해야 살아남을 수 있다는 데 공감하며 정책책 지원을 정부에 요청했다. 대한상공회의소는 28일 서울 중구 소공동 롯데호텔에서 ‘물류산업 경쟁력..."
"대구시, 자치경찰 사무국 인선 막바지…행정과장 권두성·정책과장 김순...",2021-05-09 16:24:00,시민,"5개 팀은 경찰행정과 소속 총무·인사 2개팀과, 경찰 정책책과 소속 기획·협력·감사 3개팀이다. 정책TF는 별개다. 총무팀장에는 용창준 정책기획관실 사무관, 인사팀장은 대구경찰청 정우달 경정이 담당한다. 정책과..."
시장도 반겼다…'코로나 위기' 바이든號 첫 재무장관에 옐런(종합),2020-11-24 07:01:00,소문칼럼,코로나19 재확산이 무서운 것은 의료시설의 포화가 낳을 사회적 공포와 함께 각종 봉쇄 정책책에 따른 경제적 마비가 꼽힌다. 실제 JP모건은 최근 월가 금융기관 중 처음으로 내년 1분기 미국의 성장률이 마이너스(-1.0...
"넷플릭스 30일 무료 체험 서비스 미국서 제외, 한국은?",2020-10-14 18:06:00,수습,넷플릭스 관계자는 “다양한 국가에서 다르게 적용되는 정책책이다”라며 “넷플릭스는 최상의 엔터테인먼트 경험을 선사하기 위해 국가별로 30일 체험을 비롯한 다양한 프로모션 및 마케팅 활동을 전개하고 있다”고...
&quot;한국판 뉴딜 구체화...정보 축적·친환경 기업 주목&quot;-KB증권,2020-07-15 08:52:00,정부가,이 연구원은 &quot;한국판 뉴딜은 신종 코로나바이러스 감염증(코로나19) 이후 경기회복을 가속화하는 경기 진작 정책책&quot;이라며 &quot;파급효과가 큰 투자부문에 자금을 집중 투입해 5년간 성장성 제고를 유도하는 한편...
장기미집행 공원 46곳 2022년까지 시민 쉼터 조성[인천시],2019-02-21 14:33:00,여적,"또한 보존 가능지역으로 선별된 국·공유지는 정부·국회 등과 정책책 협의를 통해 보존하고, 기타 잔여부지는 도시자연공원구역 편입이나 도시개발사업 추진 등을 통해 공원기능을 유지해 나갈 예정이다. 이와 함께..."
홍남기 경제부총리 &quot;부동산 보유세 높이고 거래세 낮춰야&quot;,2018-12-02 17:43:00,정보없음,"홍 후보는 &quot;정부가 발표한대로 정책책 배려가 필요한 계층에 대해서 거래세를 인하할 계획&quot;이라고 말했다. 하지만 취득세는 지방세라는 점, 지자자체 재정에 미치는 영향, 지역간 재원 배분등을 고려해 신중한 검토가..."
"손학규, 충청行…&quot;바른미래, 소상공인·미세먼지 문제 해결할 것&quot;",2018-11-19 16:03:00,열린,대전에서 자영업자·소상공인에 대한 지원을 약속한 바른미래당은 이어 충남 당진에 위치한 한국동서발전 당진화력본부로 이동해 충청 지역의 미세먼지 및 에너지 정책책에 관한 문제를 제기했다. 손 대표는 간담회...
여수해경 25억 대 수산물 부당 위탁판매 무더기 적발,2018-01-23 16:43:00,칼럼,해경은 &quot;어민들의 권익 보호 등을 위한 수협의 대표적인 경제사업인 수탁판매 사업 정책책에 거래내역 자료 등 관련 서류를 조작해 수 례 부정한 방법으로 외상거래 내역을 발생시켜 수협 은행에 25억 원어치의 손해를...
"[文정부 일자리정책 긴급설문]대기업 18곳, &quot;현실여건 고려…비정규직 ...",2017-05-25 13:30:00,이경호,"또한 기업들의 고용 ·투자 확대를 촉진하기 위해서는 문재인 정부가 규제개혁과 감세, 경기부양 등 경제활성화 정책책 적극 펼쳐야 한다고 주문했다. 문재인 정부의 경제팀이 '재벌저격수'로 짜여진 것에 대해서는..."
후임 인도중앙은행 총재에 '파텔' 부총재,2016-08-21 10:56:00,노미란,"파텔은 모디가 구자라트주 총리 재임 시절 정책책 제언을 한 인연이 있다. ▶ 호안미로 특별전 ▶ 양낙규의 [군사이야기] &lt;ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지&gt;"
금융도시포럼 참석한 정의화 국회의장,2015-06-17 09:02:00,정두현,16일 오후 국회 의원회관 제2소회의실에서 열린 금융도시포럼2015 국회 정책책 토론회에서 정의화 국회의장이 격려사를 하고 있다.
대화 나누는 정의화 - 김무성,2015-06-17 09:02:00,정두현,16일 오후 국회 의원회관 제2소회의실에서 열린 금융도시포럼2015 국회 정책책 토론회에서 정의화 국회의장과새누리 김무성대표가 심각한표정으로 대화를 나누고 있다.
"금융도시포럼, 인사말하는 정의화 국회의장",2015-06-17 09:02:00,정두현,16일 오후 국회 의원회관 제2소회의실에서 열린 금융도시포럼2015 국회 정책책 토론회에서 정의화 국회의장이 격려사를 하고 있다.
국회서 열린 금융도시포럼 2015,2015-06-17 09:02:00,정두현,16일 오후 국회 의원회관 제2소회의실에서 열린 금융도시포럼2015 국회 정책책 토론회에서 새누리당 김무성대표 등 참석자들이 국민의례를 하고 있다.
금융도시포럼 2015 참석한 김무성 대표,2015-06-17 09:02:00,정두현,16일 오후 국회 의원회관 제2소회의실에서 열린 금융도시포럼2015 국회 정책책 토론회에서 새누리 김무성대표가 축사를 하고 있다.
"중국, 기업 설비투자 감세 실시…40조원 기업 감세 효과 기대",2014-09-26 11:10:00,경기,이는 중국 경제의 안정적인 성장과 경제 구조개혁이라는 두마리 토끼를 잡을 수 있는 정책책으로 해석된다. 기업들의 설비 투자에 대한 감가상각 기간 단축은 정책이 기업 세금 부담을 경감시키는 한편 기업 설비...
'2014 태양에너지 컨퍼런스' 오는 8월 18~21일 개최,2014-07-23 04:51:00,개최,"태양에너지 산업에서 확대되는 투자 기회에 초점을 맞춘 행사이다. ASEAN 국가, 중국, 일본, 인도, 호주에서 업계 관계자가 참가하여 사업 기회, 규제 체제, 정부 정책책 및 자금조달 등에 대해 토론할 예정이다."
&quot;전력산업서 정부와 정치는 손 떼라&quot;,2013-10-21 09:07:00,독자비평,또 이런 부지에 대기업도 들어오도록 정책책 인센티브를 주면 된다. 우리처럼 전력을 많이 쓰는 나라에서 765kV 송전선은 불가피하다. 저렴한 전기로 한국경제가 이만큼 발전한거다. 앞으로 우리는 무엇을 먹고 살 걱정을...
뉴욕시장 &quot;담배 공중이 보지 못하도록 감춰라&quot;,2013-03-19 08:32:00,박희준,"그러나 흡연반대 정책은 불룸버그 시장의 건강 중심 정책책의 단골 메뉴로 가장 성공한, 광범위한 보건정책중의 하나로 평가받고 있다. 뉴욕시는 공원과 광장,해변,식당과 술집 등 거의 모든 공공장소에서 흡연을..."
은행 주택대출 착시 벗어야 길 뚫어 간다,2012-08-13 08:15:00,스크칼럼,◇ 장기 조달 인프라 밀고 은행권 스스로 운용역량 끌어야 금융당국이 서둘러 온 커버드본드 발행과 육성을 위한 제도적 정책책 뒷받침 노력 역시 박차를 가해야 한다는 지적도 있다. 커버드본드 등 초장기 자금조달...
정부 DTI ‘보완’ 고육지책…얼마나 효과 있을까,2012-07-22 19:17:00,허완,"기획재정부는 23일 신제윤 1차관 주재로 관계부처 회의를 열어 이번 토론회에서 나온 정책책 과제들을 논의할 계획이다. 선대인 선대인경제연구소장은 “지금 DTI 규제가 안 풀려서 집을 못 사고 있는 건지, 사고 싶어도..."
"전문가들, &quot;세출 대안 없는 감세 효과 의문&quot;",2008-09-01 18:14:00,양영권,"참여연대는 &quot;이번 세제 개편안은 대규모 감세에 따른 제대로 된 효과분석조차 없는 공허한 정책책&quot;이라며 &quot;물가상승과 경기침체로 고통 받는 진짜 서민과 중소기업, 자영업자를 위한 정책은 눈 씻고도 찾아볼 수 없다&quot;고..."
&lt;이라크戰&gt; 獨집권당 지지율 이라크전 영향 상승세,2003-03-29 11:04:00,정보없음,슈뢰더 총리의 전반적 정책책 수행에 대해서는 62%가 완전히 또는 크게 불만한다고 응답했으나 안겔라 메르헬 기민당수에 대한 불만자도 53%나 됐다. 특히 정권이 교체돼도 독일의 정치.경제상항이 개선되지 못할...
김대중 대통령 특별회견,2002-09-18 15:30:00,정보없음,"김 대통령은 “남은 임기 동안 다음 정부가 튼튼한 토대 위에서 국민에게 봉사할 수 있도록 하겠다”며 “정보격차 해소를 위한 e코리안 500만명 양성 정책책, 월드컵으로 높아진 국가 이미지와 한류 열풍 활용을 통한..."
