대수,대별,대별 및 소속정당(단체),이름,이름(한자),자,호,생년월일,본관,출생지,학력 및 경력,종교 및 취미,저서,상훈,기타정보(사망일),회원정보 확인 헌정회 홈페이지 URL
20,20대의원,제20대국회의원(대구광역시 중구남구) 새누리당 제21대국회의원(대구중구남구) 미래통합당  ,곽상도,郭尙道,null,null,1959년 12월 23일,null,null,"대건고등학교 성균관대학교 대학원 법학 석사  1983. 제25회 사법시험 합격 1998~ 서울지방검찰청 검사, 남부지청 검사, 대구지방검찰청 의성지청 지청장 1999. 대검찰청 검찰연구관 2000. 대구지방검찰청 공안부 부장검사 2002. 수원지방검찰청 특별수사부 부장 2003. 서울지방검찰청 특수3부 부장검사 2005. 부산지방검찰청 형사1부 부장검사 2007. 대구지방검찰청 서부지청 지청장 2009. 곽상도법률사무소 변호사 2013. 대통령비서실 민정수석 2015. 제11대 대한법률구조공단 이사장 20대 국회 상임위-교육문화체육관광위원회(간사), 운영위원회, 20대 국회 특위-윤리특별위원회, 사법개혁특별위원회, 예산결산특별위원회 ",null,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2960
20,20대의원,제20대국회의원(비례대표 ) 더불어민주당 ,권미혁,權美赫,null,null,1959년 01월 10일,null,null,2019.08 ~   국회 예산결산특별위원회 위원 2018.11 ~   2019.05더불어민주당 원내대변인 2018.10 ~   2019.06국회 윤리특별위원회 간사 2018.07 ~   국회 행정안전위원회 위원 2017.05 ~ 2019.05  더불어민주당 원내부대표 2017.03 ~ 2018.08  더불어민주당 보건의료특별위원회 공동위원장 2017.02 ~ 2018.08  더불어민주당 사회적경제위원회 위원 2016.07 ~ 2017.06  제20대 국회 저출산고령화대책특별위원회 위원 2016.06  제20대 국회 전반기 보건복지위원회 위원 2016.06  제20대 국회 전반기 여성가족위원회 위원 2016.05 ~  제20대 국회의원 (비례대표/더불어민주당) 2016.03 ~ 2016.09  더불어민주당 유능한경제정당위원회 위원 2016.02 ~ 2016.08  더불어민주당 뉴파티위원장 2012 ~ 2015  방송문화진흥회 이사 2011 ~ 2013  한국여성단체연합 상임대표 2011 ~ 2014  민족화해협력범국민협의회 상임의장 2008 ~ 2014  시민사회단체연대회의 공동대표 2005 ~ 2011  한국여성민우회 대표 ,null,null,2020  제1회 아주경제 베스트 의정대상 베스트상 2019  국정감사 NGO 모니터단 국정감사 국리민복상 2019  더불어민주당 국정감사 우수의원 2019  머니투데이 국감 스코어보드 대상 2019  제11회 공동선 의정활동상 2019  법률소비자연맹 국회의원 헌정대상 2018  더불어민주당 국정감사 우수의원 2018  국회사무처 입법 및 정책개발 우수 국회의원 2018  국회의원 아름다운 말 선플상 2018  쿠키뉴스 국정감사 우수의원 2017  더불어민주당 국정감사 우수의원 2017  국회사무처 입법 및 정책개발 우수 국회의원 2017  법률소비자연맹 국회의원 헌정대상 2016  더불어민주당 국정감사 우수의원 2016  국회사무처 입법 및 정책개발 우수 국회의원 ,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2953
20,20대의원,제20대국회의원(충청북도 제천시단양군) 새누리당 2018년 5월 11일 선거법위원 - 20대 의원직 상실 ,권석창,權錫昌,null,null,1966년 08월 06일,null,null,null,null,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=3012
20,20대의원,제18대국회의원(강원 강릉) 한나라당 제19대국회의원(강원 강릉) 새누리당 제20대국회의원(강원 강릉) 새누리당 제21대국회의원(강원 강릉) 무소속 제22대국회의원(강원 강릉) 국민의힘,권성동,權性東,null,null,1960년 04월 29일,null,강원 강릉,"· 강릉 명륜고등학교 · 중앙대학교 법학과 (학사) · 중앙대학교 대학원 법학과 석사  · 제27회 사법시험 합격 · 해군 법무관 · 수원지방검찰청 검사 · 춘천지방검찰청 강릉지청 검사 · 서울지방검찰청 검사 · 법무부 인권과 검사 · 서울지방검찰청 동부지청 부부장검사 · 장흥지청 부부장검사 · 서울지방검찰청 부부장검사 · 광주지방검찰청 형사3부 부장검사 · 대검찰청 범죄정보2담당관 · 인천지방검찰청 특수수사부 부장검사 · 광주고등검찰청 검사 · 서정 법무법인 변호사 · 청와대 대통령실 민정수석실 법무비서관 · (사)대한수상스키·웨이크보드협회 회장 · 한나라당 원내부대표 · 제18대 국회 운영위원회, 지식경제위원회, 예산결산특별위원회 위원 · 제19대 국회 평창동계올림픽 및 국제경기대회지원특별위원회 위원, 쇄신특별위원회 위원, 예산결산특별위원회 위원, 법제사법위원회 간사 · 새누리당 정책위부의장",null,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2464
20,20대의원,제19대 국회의원(광주광산을) 새정치민주연합 제20대국회의원(광주광역시 광산구을) 국민의당 제21대국회의원(비례대표) 국민의당 ,권은희,權垠希,null,null,1974년 02월 15일,안동,광주,"광주여고  전남대법학과 연세대 일반대학원 법학석사  2001. 제43회 사법시험 합격(연수원 33기 수료) 2004. 권은희 법률사무소 2005. 경기 용인경찰서 수사과장 2006. 경찰청 경무기획국 법무과 2007~ 서울 서초경찰서, 수서경찰서, 송파경찰서 수사과장 2014. 서울 관악경찰서 여성청소년과 과장 2015~ 새정치민주연합 법률담당 원내부대표, 원내대표 비서실장 2016~ 국민의당 정책위원회 수석부의장, 제1정책조정위원회 위원장, 2018~ 바른미래당 최고위원, 정책위원회 의장, 국민의당 원내대표 19대 국회 상임위-운영위원회, 국방위원회(간사), 19대 국회 특위-예산결산특별위원회, 20대 국회 상임위-안전행정위원회(간사), 운영위원회(간사), 20대 국회 특위-예산결산특별위원회(간사), 2020. 국민의당 창당준비위원회 부위원장, 최고위원, 원내대표 ",카톨릭,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2898
20,20대의원,제20대(경기 화성시병) 더불어민주당 제21대(경기 화성시병) 더불어민주당 제22대(경기 화성시병) 더불어민주당 ,권칠승,權七勝,null,null,1965년 11월 18일,null,null,"경북고등학교 고려대학교 경제학 학사  1998~ 새정치국민회의, 열린우리당 중앙당 사무처 2004. 노무현 대통령비서실 행정관 2010~ 제8대 경기도의회 기획재정위원회(간사), 에산결산위원회 위원장 2014. 제9대 경기도의회 의원 2016. 문재인 국회의원 정무특보 2016. 더불어민주당 국민연금 공공투자 정책 추진 특별위원회(간사) 2016~ 더불어민주당 중소기업특별위원회 위원장, 정책위원회 부의장, 원내부대표, 홍보소통위원회 위원장 20대 국회 상임위-산업통상자원위원회, 산업통상자원중소벤처기업위원회, 운영위원회 20대 국회 특위-지방재정 부권 특별위원회",null,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=3004
20,20대의원,제20대국회의원(서울 강서구갑) 더불어민주당 ,금태섭,琴泰燮,null,null,1967년 09월 29일,null,null,2005 ~ 2011  서울대학교 법과대학 박사 수료 2000 ~ 2001  코넬대학교 대학원 법학 석사 1986 ~ 1991  서울대학교 법과대학 학사 ~ 1986  여의도고등학교  2019.11 ~  더불어민주당 총선기획단 2019.01 ~  제20대 국회 후반기 윤리특별위원회 위원 2019.01 ~   더불어민주당 전략기획자문위원회 부위원장 2018.07 ~   제20대 국회 후반기 법제사법위원회 위원 2018.07 ~   제20대 국회 후반기 운영위원회 위원 2018.05 ~ 2019.05  더불어민주당 원내부대표 2017.09 ~ 2018.05  제20대 국회 법제사법위원회 간사 2017.08 ~   더불어민주당 적폐청산위원회 위원 2017.06 ~ 2017.09  더불어민주당 100일 민생상황실 민생신문고팀 2017.04 ~ 2017.05  더불어민주당 국민주권선거대책위원회 전략본부 수석부본부장 2017.01  더불어민주당 당헌당규강령정책위원회 간사 2016.12 ~ 2017.05  더불어민주당 전략기획위원장 2016.11 ~ 2016.12  더불어민주당 탄핵추진 실무준비단 간사 2016.10  더불어민주당 박근혜 최순실게이트 국민조사위원회 간사 2016.08 ~ 2016.12  더불어민주당 대변인 2016.07 ~ 2016.10  제20대 국회 가습기살균제 사고 진상규명과 피해구제 및 재발방지 대책마련을 위한 국정조사특별위원회 위원  2016.07 ~ 2018.06  제20대 국회 저출산·고령화대책 특별위원회 위원 2016.07 ~ 2017.06  제20대 국회 예산결산특별위원회 위원 2016.06  제20대 국회 여성가족위원회 위원 2016.06 ~ 2017.09  제20대 국회 법제사법위원회 위원 2016.05 ~   제20대 국회의원 (서울 강서구갑/더불어민주당) 2016.05  더불어민주당 정책위원회 부의장 2014.03 ~ 2014.07  새정치민주연합 대변인 2013.12  새정치 추진위원회 대변인 법무법인 공존 변호사 서강대학교 법학전문대학원 겸임교수 ~ 2012.09  법무법인 지평지성 파트너변호사 법무법인 퍼스트 대표변호사 2007  금태섭황선기법률사무소 변호사 2006 ~ 2007.01  서울중앙지방검찰청 검사 2004  대검찰청 검찰연구관 2002  인천지방검찰청 검사 1999  울산지방검찰청 검사 1997  통영지방검찰청 검사 1995  서울지방검찰청 동부지청 검사 1992  제34회 사법시험 합격  ,null,null,2019  제21회 백봉신사상 대상 2019  머니투데이 the300 국정감사 스코어보드 대상 2018  더불어민주당 국정감사 우수위원상 2018  머니투데이 the 300 대한민국 최우수 법률상 2018  대한변호사협회 우수 국회의원상 2017  더불어민주당 국정감사 우수위원상 2016  더불어민주당 국정감사 우수위원상 ,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=3021
20,20대의원,제20대국회의원(서울 성북구을) 더불어민주당 제21대국회의원(서울 성북구을) 더불어민주당 ,기동민,奇東旻,null,null,1966년 02월 23일,null,null,"광주인성고등학교 성균관대학교 신문방송학 학사 성균관대학교 언론정보대학원 커뮤니케이션학 석사  1991. 성균관대학교 총학생회 회장 1988. 신계륜 서울특별시 정무부시장 비서 2002. 김대중 대통령 비서실 행정관 2004. 김근태 보건복지부장관 정책보좌관 2005. 김근태 국회의원 보좌관 2008. 한반도재단 기획위원회 위원장 2010. 민주당 부대변인 2010. 박지원 민주당 원내대표 특별보좌관 2011. 서울특별시 정무수석비서관 2012. 서울특별시 정무부시장 2016. 더불어민주당 원내대변인 2019. 더불어민주당 정책위원회 상임부의장 20대 국회 상임위-운영위원회, 보건복지위원회,",null,"2010. 그런 사람 없어요 기동민 2010. 아빠, 엄마 반만큼만 해라",null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=3008
20,20대의원,제20대국회의원(경상남도 김해시을) 더불어민주당 ,김경수,金慶洙,null,null,1967년 12월 01일,null,null,"1986 ~ 1992  서울대학교 인류학과 학사 1982 ~ 1985  진주동명고등학교 1979 ~ 1982  진주남중학교 1976 ~ 1979  천전초등학교  2018.07 ~  제37대 경상남도 도지사 2017.08  더불어민주당 정당발전위원회 위원 2017.07  제20대 국회 전반기 산업통상자원중소벤처기업위원회 위원 2017.05 ~ 2017.07  국정기획자문위원회 기획분과 위원 2016.06 ~ 2017.07  제20대 국회 전반기 산업통상자원위원회 위원 2016.01  더불어민주당 뉴파티위원회 위원 2015.12 ~ 2016.08  더불어민주당 경상남도당 위원장 2015.12  더불어민주당 경상남도당 김해을 지역위원장 2015.01 ~ 2015.12  새정치민주연합 경상남도당 위원장 2014.11 ~ 2015.12  새정치민주연합 경상남도당 김해을 지역위원장 2014.03  새정치민주연합 2013  민주당 중앙당 정책위원회 부의장 18대 대통령선거 문재인후보 선거대책위원회 공보 특별보좌관, 수행팀장 2012.01  민주당 경남 김해을 지역위원장 2011.11  노무현재단 봉하사업부 본부장 2009.09  봉하재단 사무국장 2008.02  대통령비서실 공보담당비서관 2007.04  대통령비서실 연설기획비서관  대통령비서실 제1부속실 행정관 2003.03 대통령비서실 국정상황실 행정관 2002.12 제16대 대통령선거 노무현 대통령당선자 비서실 기획팀 2002.07 제16대 대통령선거 노무현후보 선거대책위원회 전략기획팀 부국장 ",null,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=3022
20,20대의원,제20대국회의원(광주광역시 북구갑) 국민의당 ,김경진,金京鎭,null,null,1966년 07월 14일,null,null,"1983 ~ 1987  고려대학교 대학원 법학 석사과정 수료 고려대학교 법학 학사 금호고등학교 무진중학교 백운초등학교  2018.07 ~ 제20대 국회 후반기 과학기술정보방송통신위원회 위원 2018.02  제20대 국회 과학기술정보방송통신위원회 위원 2018.02 ~ 2018.06  민주평화당 6.13 지방선거 상임선거대책위원장 2018.02 ~ 2018.06  민주평화당 최고위원 2017.10 ~ 2018.01  국민의당 제2창당위원회 당헌당규제개정위원회 위원 2017.09 ~ 2017.11  제20대 국회 전반기 운영위원회 위원 2017.09 ~ 2018.01  국민의당 원내대변인 2017.07 ~ 2017.12  국민의당 탈원전 대책TF 위원 2017.07 ~ 2018.02  제20대 국회 전반기 과학기술정보방송통신위원회 간사 2017.05 ~ 2018.05  제20대 국회 전반기 예산결산특별위원회 위원 2017.05 ~ 2018.01  국민의당 원내부대표 2017.01 ~ 2017.05 국민의당 수석대변인 2016.06 ~ 2017.07  제20대 국회 전반기 미래창조과학방송통신위원회 간사 2016.05 ~ 2018.02 2014 ~ 2016.05  변호사 김경진, 윤우희 합동법률사무소 2008 ~ 2014  법무법인 이인 대표변호사 2003 ~ 2007.10  광주지방검찰청 부장검사 2003  서울중앙검찰청 검사 2000.02 ~ 2000.08  대검찰청 검찰제도 연구관 전주지방검찰청 검사 1998  광주지방검찰청 검사 1997  군산지방청찰청 검사 1995  인천지방검찰청 검사 1989  제31회 사법시험 합격  ",null,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=3011
20,20대의원,제19대국회의원(경기 부천시원미구갑) 새정치민주연합 제20대국회의원(경기도 부천시원미구갑) 더불어민주당 제21대국회의원(경기부천시갑) 더불어민주당 ,김경협,金炅俠,null,null,1962년 11월 07일,null,null,"장흥남초등학교  장흥중학교  부산기계공업고등학교  성균관대학교 사회학 학사  고려대학교 대학원 경제학 석사  한국기술교육대학교 대학원 고용정책 박사과정  부천지역금속노조 위원장 실업극복부천시민운동본부 공동대표 한국노동조합총연맹 개혁특별위원 부천시근로자종합복지관 관장 한국노동조합총연맹 전국지역지부협의회 의장 민주당 손학규대표 정무특별보좌관 한국산업인력공단 상임감사 정치개혁시민연대 상임대표 부천혁신과통합 공동대표 한국노동조합총연맹 부천지역지부 의장 부천시근로자장학재단 설립, 초대 이사장 노무현재단 기획위원 청와대 사회조정비서관",null,null,null,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2816
20,20대의원,제19대국회의원(전북 군산시) 새정치민주연합 제20대국회의원(전라북도 군산시) 국민의당 ,김관영,金寬永,null,null,1969년 11월 15일,null,null,군산제일고등학교  성균관대학교 경영학 학사  서울대학교 행정대학원 행정학과 졸업	  청운회계법인 공인회계사 경제기획원 재정경제부 사무관 김앤장 공인회계사 김앤장 변호사 갈등해소센터 이사 서울지방변호사회 서민지원대책특별위원회 위원장 법무법인 나라 변호사 군산비전포럼 소장 2022 전라북도지사,null,null,국무총리 표창,null,http://www.rokps.or.kr/profile/profile_view.asp?idx=2860
